shipment_id,product_name,category,temperature_C,humidity_percent,safe_temp_low_C,safe_temp_mid_C,safe_temp_high_C,humidity_low_percent,humidity_mid_percent,humidity_high_percent,exposure_hours,ethylene_ppm,co2_ppm,nh3_ppm,h2s_ppm,temp_deviation,temp_deviation_degree_hr,cumulative_damage_index,humidity_deviation,temp_danger_flag,spoilage_probability,remaining_shelf_life_hours,risk_category,recommended_action,category_encoded,product_name_encoded,risk_encoded,action_encoded
SHP_18,Cabbage,vegetable,0.03,68.09,0,2,4,90,95,98,17.14,4.79,1886.79,47.15,9.7,-1.97,-33.7658,0.337658,-26.909999999999997,0,0.02,94,Low,Maintain cold chain,3,3,2,2
SHP_19,Tomato,vegetable,18.08,78.67,10,12,14,85,90,92,13.29,14.55,4867.38,48.12,7.55,6.079999999999998,80.80319999999998,0.8080319999999998,-11.329999999999998,1,0.08,88,Low,Maintain cold chain,3,15,2,2
SHP_20,Tomato,vegetable,24.48,56.55,10,12,14,85,90,92,11.63,2.06,1609.64,45.41,7.19,12.48,145.1424,1.451424,-33.45,1,0.184,78,Low,Maintain cold chain,3,15,2,2
SHP_21,Onion,vegetable,10.87,66.92,10,12,15,70,75,80,16.75,39.43,1437.66,33.61,22.85,-1.1300000000000008,-18.927500000000013,0.18927500000000014,-8.079999999999998,0,0.123,84,Low,Maintain cold chain,3,11,2,2
SHP_22,Onion,vegetable,23.14,80.05,10,12,15,70,75,80,19.9,25.34,2818.14,4.51,25.06,11.14,221.686,2.21686,5.049999999999997,1,0.347,62,Medium,Increase cooling,3,11,3,1
SHP_23,Butter,dairy,9.28,50.26,2,4,6,75,80,85,7.16,1.63,3077.2,33.88,0.5,5.279999999999999,37.80479999999999,0.37804799999999994,-29.740000000000002,1,0.02,94,Low,Maintain cold chain,0,2,2,2
SHP_24,Milk,dairy,26.68,52.46,2,3,4,80,85,90,5.89,27.64,2117.66,46.84,4.13,23.68,139.4752,1.394752,-32.54,1,0.121,84,Low,Maintain cold chain,0,9,2,2
SHP_25,Butter,dairy,26.12,46.24,2,4,6,75,80,85,21.35,36.99,4423.49,12.9,19.8,22.12,472.26200000000006,4.722620000000001,-33.76,1,0.614,37,High,Prioritize delivery,0,2,1,3
SHP_26,Orange,fruit,13.27,70.54,4,6,8,80,85,90,7.09,3.72,4516.91,45.02,18.99,7.27,51.54429999999999,0.5154429999999999,-14.459999999999994,1,0.02,94,Low,Maintain cold chain,1,12,2,2
SHP_27,Cabbage,vegetable,24.09,59.21,0,2,4,90,95,98,18.18,29.04,4516.42,44.35,23.4,22.09,401.5962,4.015962,-35.79,1,0.511,46,Medium,Increase cooling,3,3,3,1
SHP_28,Butter,dairy,10.57,44.63,2,4,6,75,80,85,9.33,0.2,1055.8,27.44,20.76,6.57,61.298100000000005,0.612981,-35.37,1,0.091,87,Low,Maintain cold chain,0,2,2,2
SHP_29,Mutton,meat,1.61,52.33,0,1,2,85,90,95,3.09,28.49,1415.07,16.27,22.39,0.6100000000000001,1.8849000000000002,0.018849,-37.67,0,0.02,94,Low,Maintain cold chain,2,10,2,2
SHP_30,Grapes,fruit,6.6,86.71,0,1,2,90,92,95,4.52,3.75,2028.26,13.26,7.32,5.6,25.311999999999998,0.25311999999999996,-5.290000000000006,1,0.073,89,Low,Maintain cold chain,1,7,2,2
SHP_31,Chicken,meat,31.6,61.62,0,1,2,85,90,95,14.72,35.68,3266.35,39.74,15.08,30.6,450.432,4.50432,-28.380000000000003,1,0.658,32,High,Prioritize delivery,2,5,1,3
SHP_32,Butter,dairy,29.65,67.09,2,4,6,75,80,85,14.71,11.23,414.29,32.27,5.31,25.65,377.3115,3.773115,-12.909999999999997,1,0.503,47,Medium,Increase cooling,0,2,3,1
SHP_33,Cabbage,vegetable,4.7,92.47,0,2,4,90,95,98,23.33,36.59,2039.75,0.77,27.85,2.7,62.991,0.62991,-2.530000000000001,1,0.036,92,Low,Maintain cold chain,3,3,2,2
SHP_34,Grapes,fruit,11.85,93.17,0,1,2,90,92,95,16.68,34.05,1789.53,8.47,16.7,10.85,180.97799999999998,1.8097799999999997,1.1700000000000017,1,0.184,78,Low,Maintain cold chain,1,7,2,2
SHP_35,Milk,dairy,33.04,78.28,2,3,4,80,85,90,3.57,22.8,756.73,30.75,29.7,30.04,107.24279999999999,1.072428,-6.719999999999999,1,0.058,90,Low,Maintain cold chain,0,9,2,2
SHP_36,Tomato,vegetable,21.26,68.51,10,12,14,85,90,92,11.44,27.88,3601.68,17.97,8.81,9.260000000000002,105.93440000000001,1.059344,-21.489999999999995,1,0.15,81,Low,Maintain cold chain,3,15,2,2
SHP_37,Tomato,vegetable,14.05,84.56,10,12,14,85,90,92,12.68,34.68,4592.23,25.57,15.05,2.0500000000000007,25.994000000000007,0.25994000000000006,-5.439999999999998,1,0.06,90,Low,Maintain cold chain,3,15,2,2
SHP_38,Carrot,vegetable,9.19,75.75,0,2,4,90,95,98,20.36,35.6,1888.58,18.78,2.82,7.1899999999999995,146.3884,1.463884,-19.25,1,0.231,73,Low,Maintain cold chain,3,4,2,2
SHP_39,Orange,fruit,12.31,41.98,4,6,8,80,85,90,9.6,18.62,2850.43,14.33,17.72,6.3100000000000005,60.576,0.60576,-43.02,1,0.108,85,Low,Maintain cold chain,1,12,2,2
SHP_40,Apple,fruit,19.46,42.05,0,2,4,85,90,95,14.78,5.08,2754.54,38.5,6.47,17.46,258.0588,2.580588,-47.95,1,0.299,67,Low,Maintain cold chain,1,0,2,2
SHP_41,Apple,fruit,15.61,44.69,0,2,4,85,90,95,3.57,2.07,2797.37,27.03,19.12,13.61,48.5877,0.485877,-45.31,1,0.115,84,Low,Maintain cold chain,1,0,2,2
SHP_42,Carrot,vegetable,8.9,93.67,0,2,4,90,95,98,6.51,31.81,1572.91,21.95,2.35,6.9,44.919000000000004,0.44919000000000003,-1.3299999999999983,1,0.02,94,Low,Maintain cold chain,3,4,2,2
SHP_43,Banana,fruit,31.38,92.95,13,14,16,80,85,90,2.97,33.44,3571.08,20.45,5.2,17.38,51.6186,0.516186,7.950000000000003,1,0.074,88,Low,Maintain cold chain,1,1,2,2
SHP_44,Banana,fruit,18.63,53.76,13,14,16,80,85,90,23.49,26.41,1615.69,47.74,22.14,4.629999999999999,108.75869999999998,1.0875869999999999,-31.240000000000002,1,0.224,74,Low,Maintain cold chain,1,1,2,2
SHP_45,Orange,fruit,12.22,73.64,4,6,8,80,85,90,16.17,16.78,1464.34,17.8,22.74,6.220000000000001,100.57740000000003,1.0057740000000002,-11.36,1,0.146,81,Low,Maintain cold chain,1,12,2,2
SHP_46,Cabbage,vegetable,19.22,46.38,0,2,4,90,95,98,13.14,18.97,759.82,24.58,14.2,17.22,226.2708,2.262708,-48.62,1,0.305,66,Medium,Increase cooling,3,3,3,1
SHP_47,Potato,vegetable,17.69,63.86,10,12,15,85,90,92,22.37,15.94,3194.5,31.75,1.36,5.690000000000001,127.28530000000003,1.2728530000000005,-26.14,1,0.198,77,Low,Maintain cold chain,3,14,2,2
SHP_48,Carrot,vegetable,13.37,74.42,0,2,4,90,95,98,10.18,26.35,1065.79,3.53,19.27,11.37,115.74659999999999,1.1574659999999999,-20.58,1,0.203,76,Low,Maintain cold chain,3,4,2,2
SHP_49,Fish,meat,17.4,72.22,0,1,2,85,90,95,21.69,37.61,3004.73,19.41,19.3,16.4,355.716,3.55716,-17.78,1,0.445,53,Medium,Increase cooling,2,6,3,1
SHP_50,Grapes,fruit,0.83,70.01,0,1,2,90,92,95,6.7,38.45,4555.15,9.79,2.08,-0.17000000000000004,-1.1390000000000002,0.011390000000000003,-21.989999999999995,0,0.02,94,Low,Maintain cold chain,1,7,2,2
SHP_51,Milk,dairy,6.4,41.0,2,3,4,80,85,90,1.48,3.78,3510.13,3.56,9.57,3.4000000000000004,5.032,0.050320000000000004,-44.0,1,0.036,92,Low,Maintain cold chain,0,9,2,2
SHP_52,Onion,vegetable,15.07,41.28,10,12,15,70,75,80,1.17,4.73,3574.66,31.45,26.32,3.0700000000000003,3.5919000000000003,0.035919000000000006,-33.72,1,0.02,94,Low,Maintain cold chain,3,11,2,2
SHP_53,Onion,vegetable,14.41,84.19,10,12,15,70,75,80,2.55,11.28,1133.97,37.53,24.21,2.41,6.1455,0.061455,9.189999999999998,0,0.05,91,Low,Maintain cold chain,3,11,2,2
SHP_54,Milk,dairy,9.96,62.69,2,3,4,80,85,90,2.63,13.63,4674.56,42.92,12.87,6.960000000000001,18.3048,0.183048,-22.310000000000002,1,0.087,87,Low,Maintain cold chain,0,9,2,2
SHP_55,Cabbage,vegetable,9.0,81.5,0,2,4,90,95,98,16.39,4.12,4542.0,25.26,24.79,7.0,114.73,1.1473,-13.5,1,0.114,85,Low,Maintain cold chain,3,3,2,2
SHP_56,Orange,fruit,27.8,89.25,4,6,8,80,85,90,17.64,38.02,2995.16,31.59,13.45,21.8,384.552,3.84552,4.25,1,0.497,48,Medium,Increase cooling,1,12,3,1
SHP_57,Onion,vegetable,34.4,58.08,10,12,15,70,75,80,19.05,26.9,3836.16,39.58,23.69,22.4,426.71999999999997,4.2672,-16.92,1,0.527,45,Medium,Increase cooling,3,11,3,1
SHP_58,Potato,vegetable,31.37,67.19,10,12,15,85,90,92,3.17,17.66,4472.21,17.55,3.51,19.37,61.4029,0.614029,-22.810000000000002,1,0.081,88,Low,Maintain cold chain,3,14,2,2
SHP_59,Paneer,dairy,21.14,81.88,2,3,4,80,85,90,10.74,24.73,775.28,4.21,21.03,18.14,194.8236,1.948236,-3.1200000000000045,1,0.21,75,Low,Maintain cold chain,0,13,2,2
SHP_60,Mango,fruit,12.36,85.2,12,14,16,80,85,90,16.49,3.39,4937.21,18.71,11.12,-1.6400000000000006,-27.04360000000001,0.27043600000000007,0.20000000000000284,0,0.02,94,Low,Maintain cold chain,1,8,2,2
SHP_61,Mango,fruit,29.32,92.1,12,14,16,80,85,90,10.26,39.44,3840.88,18.81,2.51,15.32,157.1832,1.571832,7.099999999999994,1,0.208,76,Low,Maintain cold chain,1,8,2,2
SHP_62,Grapes,fruit,7.11,70.71,0,1,2,90,92,95,6.72,4.45,2615.34,0.57,14.06,6.11,41.059200000000004,0.41059200000000007,-21.290000000000006,1,0.094,86,Low,Maintain cold chain,1,7,2,2
SHP_63,Fish,meat,4.23,46.53,0,1,2,85,90,95,4.22,4.7,3351.29,37.3,17.5,3.2300000000000004,13.630600000000001,0.136306,-43.47,1,0.02,94,Low,Maintain cold chain,2,6,2,2
SHP_64,Cabbage,vegetable,4.81,60.62,0,2,4,90,95,98,11.64,8.94,4827.15,0.61,29.1,2.8099999999999996,32.7084,0.327084,-34.38,1,0.075,88,Low,Maintain cold chain,3,3,2,2
SHP_65,Fish,meat,-0.83,89.01,0,1,2,85,90,95,19.58,21.11,4966.93,3.69,16.62,-1.83,-35.831399999999995,0.35831399999999997,-0.9899999999999949,0,0.02,94,Low,Maintain cold chain,2,6,2,2
SHP_66,Mango,fruit,16.85,68.77,12,14,16,80,85,90,16.0,18.18,3249.52,29.22,27.03,2.8500000000000014,45.60000000000002,0.45600000000000024,-16.230000000000004,1,0.129,83,Low,Maintain cold chain,1,8,2,2
SHP_67,Banana,fruit,18.18,55.45,13,14,16,80,85,90,22.31,38.02,4484.24,22.78,18.6,4.18,93.2558,0.9325579999999999,-29.549999999999997,1,0.165,80,Low,Maintain cold chain,1,1,2,2
SHP_68,Tomato,vegetable,33.16,50.35,10,12,14,85,90,92,10.35,23.35,665.35,48.72,29.59,21.159999999999997,219.00599999999994,2.1900599999999995,-39.65,1,0.168,79,Low,Maintain cold chain,3,15,2,2
SHP_69,Potato,vegetable,14.19,69.49,10,12,15,85,90,92,20.89,12.38,4124.84,34.24,4.88,2.1899999999999995,45.74909999999999,0.4574909999999999,-20.510000000000005,0,0.031,93,Low,Maintain cold chain,3,14,2,2
SHP_70,Tomato,vegetable,42.66,85.24,10,12,14,85,90,92,9.72,37.31,4370.5,2.26,0.79,30.659999999999997,298.0152,2.980152,-4.760000000000005,1,0.306,66,Medium,Increase cooling,3,15,3,1
SHP_71,Cabbage,vegetable,24.65,84.58,0,2,4,90,95,98,22.31,39.49,1006.96,29.71,11.43,22.65,505.32149999999996,5.053215,-10.420000000000002,1,0.723,26,High,Prioritize delivery,3,3,1,3
SHP_72,Carrot,vegetable,33.55,86.32,0,2,4,90,95,98,10.73,16.59,1585.01,2.82,25.94,31.549999999999997,338.5315,3.385315,-8.680000000000007,1,0.417,55,Medium,Increase cooling,3,4,3,1
SHP_73,Orange,fruit,13.25,94.98,4,6,8,80,85,90,5.37,39.87,2910.53,38.45,28.34,7.25,38.9325,0.389325,9.980000000000004,1,0.111,85,Low,Maintain cold chain,1,12,2,2
SHP_74,Mango,fruit,16.25,53.6,12,14,16,80,85,90,14.32,38.16,3149.02,11.43,20.15,2.25,32.22,0.3222,-31.4,1,0.02,94,Low,Maintain cold chain,1,8,2,2
SHP_75,Milk,dairy,28.27,59.7,2,3,4,80,85,90,2.31,4.54,3456.39,26.02,23.17,25.27,58.3737,0.583737,-25.299999999999997,1,0.066,89,Low,Maintain cold chain,0,9,2,2
SHP_76,Tomato,vegetable,12.6,86.87,10,12,14,85,90,92,2.31,35.07,2196.37,6.7,0.86,0.5999999999999996,1.3859999999999992,0.013859999999999992,-3.1299999999999955,0,0.105,85,Low,Maintain cold chain,3,15,2,2
SHP_77,Tomato,vegetable,13.78,74.12,10,12,14,85,90,92,2.58,28.16,1300.93,6.82,0.44,1.7799999999999994,4.592399999999999,0.045923999999999986,-15.879999999999995,0,0.093,87,Low,Maintain cold chain,3,15,2,2
SHP_78,Onion,vegetable,18.4,72.45,10,12,15,70,75,80,10.29,36.17,1936.8,25.7,23.51,6.399999999999999,65.85599999999998,0.6585599999999998,-2.549999999999997,1,0.023,93,Low,Maintain cold chain,3,11,2,2
SHP_79,Mango,fruit,36.95,74.21,12,14,16,80,85,90,15.25,34.49,4762.75,7.35,27.8,22.950000000000003,349.98750000000007,3.4998750000000007,-10.790000000000006,1,0.335,63,Medium,Increase cooling,1,8,3,1
SHP_80,Milk,dairy,7.97,54.2,2,3,4,80,85,90,22.5,19.7,1845.13,31.67,7.2,4.97,111.82499999999999,1.11825,-30.799999999999997,1,0.159,80,Low,Maintain cold chain,0,9,2,2
SHP_81,Milk,dairy,20.14,47.09,2,3,4,80,85,90,6.49,5.12,1013.94,6.94,19.23,17.14,111.2386,1.112386,-37.91,1,0.137,82,Low,Maintain cold chain,0,9,2,2
SHP_82,Orange,fruit,15.64,59.01,4,6,8,80,85,90,16.45,26.7,1109.9,9.61,1.23,9.64,158.578,1.58578,-25.990000000000002,1,0.195,77,Low,Maintain cold chain,1,12,2,2
SHP_83,Fish,meat,-0.32,55.32,0,1,2,85,90,95,8.27,7.08,716.9,6.03,13.82,-1.32,-10.9164,0.109164,-34.68,0,0.048,91,Low,Maintain cold chain,2,6,2,2
SHP_84,Apple,fruit,1.03,60.03,0,2,4,85,90,95,11.54,1.57,4057.23,31.4,2.45,-0.97,-11.1938,0.111938,-29.97,0,0.098,86,Low,Maintain cold chain,1,0,2,2
SHP_85,Banana,fruit,29.86,90.65,13,14,16,80,85,90,13.37,2.44,1601.32,40.31,22.45,15.86,212.04819999999998,2.120482,5.650000000000006,1,0.267,70,Low,Maintain cold chain,1,1,2,2
SHP_86,Orange,fruit,4.92,51.51,4,6,8,80,85,90,22.46,24.73,2033.89,23.13,22.42,-1.08,-24.256800000000002,0.242568,-33.49,0,0.02,94,Low,Maintain cold chain,1,12,2,2
SHP_87,Onion,vegetable,17.15,53.88,10,12,15,70,75,80,9.5,28.53,4507.47,25.58,15.96,5.149999999999999,48.92499999999998,0.48924999999999985,-21.119999999999997,1,0.02,94,Low,Maintain cold chain,3,11,2,2
SHP_88,Fish,meat,8.96,64.61,0,1,2,85,90,95,20.18,10.77,2073.24,1.0,9.66,7.960000000000001,160.6328,1.606328,-25.39,1,0.121,84,Low,Maintain cold chain,2,6,2,2
SHP_89,Apple,fruit,11.9,58.01,0,2,4,85,90,95,16.36,4.79,4485.48,29.68,20.37,9.9,161.964,1.61964,-31.990000000000002,1,0.213,75,Low,Maintain cold chain,1,0,2,2
SHP_90,Grapes,fruit,7.16,67.41,0,1,2,90,92,95,22.6,23.47,3803.57,21.58,3.83,6.16,139.216,1.39216,-24.590000000000003,1,0.178,78,Low,Maintain cold chain,1,7,2,2
SHP_91,Cabbage,vegetable,1.42,59.97,0,2,4,90,95,98,3.65,25.84,2982.66,17.8,29.6,-0.5800000000000001,-2.117,0.02117,-35.03,0,0.02,94,Low,Maintain cold chain,3,3,2,2
SHP_92,Orange,fruit,12.42,53.05,4,6,8,80,85,90,7.26,7.46,1639.95,8.67,26.9,6.42,46.6092,0.466092,-31.950000000000003,1,0.026,93,Low,Maintain cold chain,1,12,2,2
SHP_93,Milk,dairy,10.72,68.85,2,3,4,80,85,90,5.68,16.42,4917.18,5.6,11.94,7.720000000000001,43.8496,0.438496,-16.150000000000006,1,0.03,93,Low,Maintain cold chain,0,9,2,2
SHP_94,Mutton,meat,2.88,87.6,0,1,2,85,90,95,6.78,6.84,3442.62,46.47,16.7,1.88,12.7464,0.127464,-2.4000000000000057,1,0.02,94,Low,Maintain cold chain,2,10,2,2
SHP_95,Banana,fruit,27.14,55.4,13,14,16,80,85,90,15.59,30.78,1179.11,16.18,12.76,13.14,204.8526,2.048526,-29.6,1,0.294,67,Low,Maintain cold chain,1,1,2,2
SHP_96,Mango,fruit,20.03,53.33,12,14,16,80,85,90,1.08,11.55,3031.82,7.72,14.43,6.030000000000001,6.512400000000001,0.06512400000000002,-31.67,1,0.021,93,Low,Maintain cold chain,1,8,2,2
SHP_97,Cabbage,vegetable,26.99,42.85,0,2,4,90,95,98,4.72,13.46,931.75,3.17,29.7,24.99,117.95279999999998,1.179528,-52.15,1,0.102,86,Low,Maintain cold chain,3,3,2,2
SHP_98,Chicken,meat,0.29,84.54,0,1,2,85,90,95,13.9,30.41,3099.5,23.58,12.36,-0.71,-9.869,0.09869,-5.459999999999994,0,0.042,91,Low,Maintain cold chain,2,5,2,2
SHP_99,Banana,fruit,19.4,91.12,13,14,16,80,85,90,22.74,33.22,4835.63,6.21,21.93,5.399999999999999,122.79599999999996,1.2279599999999997,6.1200000000000045,1,0.097,86,Low,Maintain cold chain,1,1,2,2
SHP_100,Mango,fruit,21.75,49.97,12,14,16,80,85,90,20.2,22.98,4256.6,6.99,23.86,7.75,156.54999999999998,1.5655,-35.03,1,0.2,76,Low,Maintain cold chain,1,8,2,2
SHP_101,Chicken,meat,9.81,49.0,0,1,2,85,90,95,3.93,6.57,4128.5,33.26,15.69,8.81,34.6233,0.346233,-41.0,1,0.036,92,Low,Maintain cold chain,2,5,2,2
SHP_102,Paneer,dairy,2.44,88.25,2,3,4,80,85,90,21.68,17.57,2071.64,23.13,9.04,-0.56,-12.1408,0.121408,3.25,0,0.06,90,Low,Maintain cold chain,0,13,2,2
SHP_103,Paneer,dairy,8.99,67.65,2,3,4,80,85,90,5.83,9.29,4528.0,19.19,16.31,5.99,34.9217,0.349217,-17.349999999999994,1,0.023,93,Low,Maintain cold chain,0,13,2,2
SHP_104,Grapes,fruit,30.6,74.33,0,1,2,90,92,95,9.13,5.57,4031.92,31.0,16.0,29.6,270.24800000000005,2.7024800000000004,-17.67,1,0.264,70,Low,Maintain cold chain,1,7,2,2
SHP_105,Orange,fruit,13.58,83.37,4,6,8,80,85,90,22.29,6.07,1765.09,12.42,22.32,7.58,168.9582,1.6895820000000001,-1.6299999999999955,1,0.268,70,Low,Maintain cold chain,1,12,2,2
SHP_106,Tomato,vegetable,16.13,71.34,10,12,14,85,90,92,23.45,13.68,4159.91,5.53,25.39,4.129999999999999,96.84849999999997,0.9684849999999997,-18.659999999999997,1,0.145,82,Low,Maintain cold chain,3,15,2,2
SHP_107,Chicken,meat,9.15,61.85,0,1,2,85,90,95,1.57,31.89,1004.61,11.46,21.67,8.15,12.7955,0.127955,-28.15,1,0.033,92,Low,Maintain cold chain,2,5,2,2
SHP_108,Chicken,meat,6.88,75.26,0,1,2,85,90,95,19.45,10.07,1924.77,9.08,27.25,5.88,114.366,1.14366,-14.739999999999995,1,0.164,80,Low,Maintain cold chain,2,5,2,2
SHP_109,Cabbage,vegetable,2.92,62.05,0,2,4,90,95,98,4.66,18.48,4752.23,7.67,17.59,0.9199999999999999,4.2871999999999995,0.04287199999999999,-32.95,0,0.099,86,Low,Maintain cold chain,3,3,2,2
SHP_110,Butter,dairy,28.59,73.63,2,4,6,75,80,85,21.06,27.87,4635.75,35.36,4.58,24.59,517.8654,5.178654,-6.3700000000000045,1,0.653,33,High,Prioritize delivery,0,2,1,3
SHP_111,Onion,vegetable,38.64,73.37,10,12,15,70,75,80,5.59,16.97,3761.29,46.72,27.77,26.64,148.9176,1.4891759999999998,-1.6299999999999955,1,0.222,74,Low,Maintain cold chain,3,11,2,2
SHP_112,Paneer,dairy,7.8,46.23,2,3,4,80,85,90,8.02,23.65,2175.31,2.74,10.06,4.8,38.495999999999995,0.38495999999999997,-38.77,1,0.051,91,Low,Maintain cold chain,0,13,2,2
SHP_113,Onion,vegetable,20.21,40.25,10,12,15,70,75,80,1.54,13.34,2171.39,26.87,27.6,8.21,12.643400000000002,0.12643400000000002,-34.75,1,0.071,89,Low,Maintain cold chain,3,11,2,2
SHP_114,Butter,dairy,3.73,59.08,2,4,6,75,80,85,8.55,8.98,2426.47,7.04,5.29,-0.27,-2.3085000000000004,0.023085000000000005,-20.92,0,0.02,94,Low,Maintain cold chain,0,2,2,2
SHP_115,Cabbage,vegetable,26.48,63.04,0,2,4,90,95,98,9.08,36.59,2003.25,29.03,18.97,24.48,222.2784,2.222784,-31.96,1,0.361,61,Medium,Increase cooling,3,3,3,1
SHP_116,Milk,dairy,1.05,76.49,2,3,4,80,85,90,22.6,3.41,4985.31,25.11,17.86,-1.95,-44.07,0.4407,-8.510000000000005,0,0.02,94,Low,Maintain cold chain,0,9,2,2
SHP_117,Cabbage,vegetable,10.6,81.25,0,2,4,90,95,98,5.11,8.4,4520.86,10.26,5.72,8.6,43.946,0.43945999999999996,-13.75,1,0.02,94,Low,Maintain cold chain,3,3,2,2
SHP_118,Mango,fruit,31.55,65.96,12,14,16,80,85,90,3.49,31.02,2430.46,26.22,13.22,17.55,61.249500000000005,0.612495,-19.040000000000006,1,0.041,92,Low,Maintain cold chain,1,8,2,2
SHP_119,Paneer,dairy,13.61,70.78,2,3,4,80,85,90,17.76,6.21,1155.06,43.09,28.38,10.61,188.4336,1.8843360000000002,-14.219999999999999,1,0.241,72,Low,Maintain cold chain,0,13,2,2
SHP_120,Chicken,meat,0.49,54.89,0,1,2,85,90,95,14.94,1.02,1033.92,35.8,19.77,-0.51,-7.6194,0.076194,-35.11,0,0.02,94,Low,Maintain cold chain,2,5,2,2
SHP_121,Butter,dairy,8.11,52.21,2,4,6,75,80,85,21.69,9.24,3457.9,0.99,3.12,4.109999999999999,89.1459,0.891459,-27.79,1,0.199,76,Low,Maintain cold chain,0,2,2,2
SHP_122,Cabbage,vegetable,31.0,49.82,0,2,4,90,95,98,2.02,3.98,1442.91,36.11,25.67,29.0,58.58,0.5858,-45.18,1,0.02,94,Low,Maintain cold chain,3,3,2,2
