shipment_id,product_name,category,temperature_C,humidity_percent,safe_temp_low_C,safe_temp_mid_C,safe_temp_high_C,humidity_low_percent,humidity_mid_percent,humidity_high_percent,exposure_hours,ethylene_ppm,co2_ppm,nh3_ppm,h2s_ppm,temp_deviation,temp_deviation_degree_hr,cumulative_damage_index,humidity_deviation,temp_danger_flag,spoilage_probability,remaining_shelf_life_hours,risk_category,recommended_action
SHP_14,Mango,fruit,22.28,75.0,12,14,16,80,85,90,16.21,36.3,1471.67,20.52,22.67,8.28,134.26,0.168,-10.0,1,0.172,79,Low,Maintain cold chain
SHP_15,Banana,fruit,13.14,44.23,13,14,16,80,85,90,20.67,11.59,1057.74,46.48,24.24,0.0,0.0,0.0,-40.77,0,0.02,94,Low,Maintain cold chain
SHP_16,Butter,dairy,17.7,87.93,2,4,6,75,80,85,7.39,35.7,2834.91,40.37,26.88,13.7,101.29,0.127,7.93,1,0.1,86,Low,Maintain cold chain
SHP_17,Tomato,vegetable,17.27,46.05,10,12,14,85,90,92,9.51,9.12,2307.41,40.9,25.82,5.27,50.16,0.063,-43.95,1,0.088,87,Low,Maintain cold chain
SHP_18,Cabbage,vegetable,0.03,68.09,0,2,4,90,95,98,17.14,4.79,1886.79,47.15,9.7,0.0,0.0,0.0,-26.91,0,0.02,94,Low,Maintain cold chain
SHP_19,Tomato,vegetable,18.08,78.67,10,12,14,85,90,92,13.29,14.55,4867.38,48.12,7.55,6.08,80.71,0.101,-11.33,1,0.08,88,Low,Maintain cold chain
SHP_20,Tomato,vegetable,24.48,56.55,10,12,14,85,90,92,11.63,2.06,1609.64,45.41,7.19,12.48,145.11,0.181,-33.45,1,0.184,78,Low,Maintain cold chain
SHP_21,Onion,vegetable,10.87,66.92,10,12,15,70,75,80,16.75,39.43,1437.66,33.61,22.85,0.0,0.0,0.0,-8.08,0,0.123,84,Low,Maintain cold chain
SHP_22,Onion,vegetable,23.14,80.05,10,12,15,70,75,80,19.9,25.34,2818.14,4.51,25.06,11.14,221.68,0.277,5.05,1,0.347,62,Medium,Increase cooling
SHP_23,Butter,dairy,9.28,50.26,2,4,6,75,80,85,7.16,1.63,3077.2,33.88,0.5,5.28,37.82,0.047,-29.74,1,0.02,94,Low,Maintain cold chain
SHP_24,Milk,dairy,26.68,52.46,2,3,4,80,85,90,5.89,27.64,2117.66,46.84,4.13,23.68,139.49,0.174,-32.54,1,0.121,84,Low,Maintain cold chain
SHP_25,Butter,dairy,26.12,46.24,2,4,6,75,80,85,21.35,36.99,4423.49,12.9,19.8,22.12,472.13,0.59,-33.76,1,0.614,37,High,Prioritize delivery
SHP_26,Orange,fruit,13.27,70.54,4,6,8,80,85,90,7.09,3.72,4516.91,45.02,18.99,7.27,51.55,0.064,-14.46,1,0.02,94,Low,Maintain cold chain
SHP_27,Cabbage,vegetable,24.09,59.21,0,2,4,90,95,98,18.18,29.04,4516.42,44.35,23.4,22.09,401.54,0.502,-35.79,1,0.511,46,Medium,Increase cooling
SHP_28,Butter,dairy,10.57,44.63,2,4,6,75,80,85,9.33,0.2,1055.8,27.44,20.76,6.57,61.25,0.077,-35.37,1,0.091,87,Low,Maintain cold chain
SHP_29,Mutton,meat,1.61,52.33,0,1,2,85,90,95,3.09,28.49,1415.07,16.27,22.39,0.61,1.88,0.002,-37.67,0,0.02,94,Low,Maintain cold chain
SHP_30,Grapes,fruit,6.6,86.71,0,1,2,90,92,95,4.52,3.75,2028.26,13.26,7.32,5.6,25.28,0.032,-5.29,1,0.073,89,Low,Maintain cold chain
SHP_31,Chicken,meat,31.6,61.62,0,1,2,85,90,95,14.72,35.68,3266.35,39.74,15.08,30.6,450.28,0.563,-28.38,1,0.658,32,High,Prioritize delivery
SHP_32,Butter,dairy,29.65,67.09,2,4,6,75,80,85,14.71,11.23,414.29,32.27,5.31,25.65,377.25,0.472,-12.91,1,0.503,47,Medium,Increase cooling
SHP_33,Cabbage,vegetable,4.7,92.47,0,2,4,90,95,98,23.33,36.59,2039.75,0.77,27.85,2.7,63.06,0.079,-2.53,1,0.036,92,Low,Maintain cold chain
SHP_34,Grapes,fruit,11.85,93.17,0,1,2,90,92,95,16.68,34.05,1789.53,8.47,16.7,10.85,181.03,0.226,1.17,1,0.184,78,Low,Maintain cold chain
SHP_35,Milk,dairy,33.04,78.28,2,3,4,80,85,90,3.57,22.8,756.73,30.75,29.7,30.04,107.12,0.134,-6.72,1,0.058,90,Low,Maintain cold chain
SHP_36,Tomato,vegetable,21.26,68.51,10,12,14,85,90,92,11.44,27.88,3601.68,17.97,8.81,9.26,105.9,0.132,-21.49,1,0.15,81,Low,Maintain cold chain
SHP_37,Tomato,vegetable,14.05,84.56,10,12,14,85,90,92,12.68,34.68,4592.23,25.57,15.05,2.05,25.95,0.032,-5.44,1,0.06,90,Low,Maintain cold chain
SHP_38,Carrot,vegetable,9.19,75.75,0,2,4,90,95,98,20.36,35.6,1888.58,18.78,2.82,7.19,146.44,0.183,-19.25,1,0.231,73,Low,Maintain cold chain
SHP_39,Orange,fruit,12.31,41.98,4,6,8,80,85,90,9.6,18.62,2850.43,14.33,17.72,6.31,60.61,0.076,-43.02,1,0.108,85,Low,Maintain cold chain
SHP_40,Apple,fruit,19.46,42.05,0,2,4,85,90,95,14.78,5.08,2754.54,38.5,6.47,17.46,257.95,0.322,-47.95,1,0.299,67,Low,Maintain cold chain
SHP_41,Apple,fruit,15.61,44.69,0,2,4,85,90,95,3.57,2.07,2797.37,27.03,19.12,13.61,48.61,0.061,-45.31,1,0.115,84,Low,Maintain cold chain
SHP_42,Carrot,vegetable,8.9,93.67,0,2,4,90,95,98,6.51,31.81,1572.91,21.95,2.35,6.9,44.93,0.056,-1.33,1,0.02,94,Low,Maintain cold chain
SHP_43,Banana,fruit,31.38,92.95,13,14,16,80,85,90,2.97,33.44,3571.08,20.45,5.2,17.38,51.62,0.065,7.95,1,0.074,88,Low,Maintain cold chain
SHP_44,Banana,fruit,18.63,53.76,13,14,16,80,85,90,23.49,26.41,1615.69,47.74,22.14,4.63,108.68,0.136,-31.24,1,0.224,74,Low,Maintain cold chain
SHP_45,Orange,fruit,12.22,73.64,4,6,8,80,85,90,16.17,16.78,1464.34,17.8,22.74,6.22,100.56,0.126,-11.36,1,0.146,81,Low,Maintain cold chain
SHP_46,Cabbage,vegetable,19.22,46.38,0,2,4,90,95,98,13.14,18.97,759.82,24.58,14.2,17.22,226.16,0.283,-48.62,1,0.305,66,Medium,Increase cooling
SHP_47,Potato,vegetable,17.69,63.86,10,12,15,85,90,92,22.37,15.94,3194.5,31.75,1.36,5.69,127.32,0.159,-26.14,1,0.198,77,Low,Maintain cold chain
SHP_48,Carrot,vegetable,13.37,74.42,0,2,4,90,95,98,10.18,26.35,1065.79,3.53,19.27,11.37,115.73,0.145,-20.58,1,0.203,76,Low,Maintain cold chain
SHP_49,Fish,meat,17.4,72.22,0,1,2,85,90,95,21.69,37.61,3004.73,19.41,19.3,16.4,355.68,0.445,-17.78,1,0.445,53,Medium,Increase cooling
SHP_50,Grapes,fruit,0.83,70.01,0,1,2,90,92,95,6.7,38.45,4555.15,9.79,2.08,0.0,0.0,0.0,-21.99,0,0.02,94,Low,Maintain cold chain
SHP_51,Milk,dairy,6.4,41.0,2,3,4,80,85,90,1.48,3.78,3510.13,3.56,9.57,3.4,5.05,0.006,-44.0,1,0.036,92,Low,Maintain cold chain
SHP_52,Onion,vegetable,15.07,41.28,10,12,15,70,75,80,1.17,4.73,3574.66,31.45,26.32,3.07,3.58,0.004,-33.72,1,0.02,94,Low,Maintain cold chain
SHP_53,Onion,vegetable,14.41,84.19,10,12,15,70,75,80,2.55,11.28,1133.97,37.53,24.21,2.41,6.15,0.008,9.19,0,0.05,91,Low,Maintain cold chain
SHP_54,Milk,dairy,9.96,62.69,2,3,4,80,85,90,2.63,13.63,4674.56,42.92,12.87,6.96,18.31,0.023,-22.31,1,0.087,87,Low,Maintain cold chain
SHP_55,Cabbage,vegetable,9.0,81.5,0,2,4,90,95,98,16.39,4.12,4542.0,25.26,24.79,7.0,114.76,0.143,-13.5,1,0.114,85,Low,Maintain cold chain
SHP_56,Orange,fruit,27.8,89.25,4,6,8,80,85,90,17.64,38.02,2995.16,31.59,13.45,21.8,384.5,0.481,4.25,1,0.497,48,Medium,Increase cooling
SHP_57,Onion,vegetable,34.4,58.08,10,12,15,70,75,80,19.05,26.9,3836.16,39.58,23.69,22.4,426.6,0.533,-16.92,1,0.527,45,Medium,Increase cooling
SHP_58,Potato,vegetable,31.37,67.19,10,12,15,85,90,92,3.17,17.66,4472.21,17.55,3.51,19.37,61.39,0.077,-22.81,1,0.081,88,Low,Maintain cold chain
SHP_59,Paneer,dairy,21.14,81.88,2,3,4,80,85,90,10.74,24.73,775.28,4.21,21.03,18.14,194.92,0.244,-3.12,1,0.21,75,Low,Maintain cold chain
SHP_60,Mango,fruit,12.36,85.2,12,14,16,80,85,90,16.49,3.39,4937.21,18.71,11.12,0.0,0.0,0.0,0.2,0,0.02,94,Low,Maintain cold chain
SHP_61,Mango,fruit,29.32,92.1,12,14,16,80,85,90,10.26,39.44,3840.88,18.81,2.51,15.32,157.14,0.196,7.1,1,0.208,76,Low,Maintain cold chain
SHP_62,Grapes,fruit,7.11,70.71,0,1,2,90,92,95,6.72,4.45,2615.34,0.57,14.06,6.11,41.04,0.051,-21.29,1,0.094,86,Low,Maintain cold chain
SHP_63,Fish,meat,4.23,46.53,0,1,2,85,90,95,4.22,4.7,3351.29,37.3,17.5,3.23,13.62,0.017,-43.47,1,0.02,94,Low,Maintain cold chain
SHP_64,Cabbage,vegetable,4.81,60.62,0,2,4,90,95,98,11.64,8.94,4827.15,0.61,29.1,2.81,32.72,0.041,-34.38,1,0.075,88,Low,Maintain cold chain
SHP_65,Fish,meat,-0.83,89.01,0,1,2,85,90,95,19.58,21.11,4966.93,3.69,16.62,0.0,0.0,0.0,-0.99,0,0.02,94,Low,Maintain cold chain
SHP_66,Mango,fruit,16.85,68.77,12,14,16,80,85,90,16.0,18.18,3249.52,29.22,27.03,2.85,45.54,0.057,-16.23,1,0.129,83,Low,Maintain cold chain
SHP_67,Banana,fruit,18.18,55.45,13,14,16,80,85,90,22.31,38.02,4484.24,22.78,18.6,4.18,93.28,0.117,-29.55,1,0.165,80,Low,Maintain cold chain
SHP_68,Tomato,vegetable,33.16,50.35,10,12,14,85,90,92,10.35,23.35,665.35,48.72,29.59,21.16,218.96,0.274,-39.65,1,0.168,79,Low,Maintain cold chain
SHP_69,Potato,vegetable,14.19,69.49,10,12,15,85,90,92,20.89,12.38,4124.84,34.24,4.88,2.19,45.72,0.057,-20.51,0,0.031,93,Low,Maintain cold chain
SHP_70,Tomato,vegetable,42.66,85.24,10,12,14,85,90,92,9.72,37.31,4370.5,2.26,0.79,30.66,297.94,0.372,-4.76,1,0.306,66,Medium,Increase cooling
SHP_71,Cabbage,vegetable,24.65,84.58,0,2,4,90,95,98,22.31,39.49,1006.96,29.71,11.43,22.65,505.25,0.632,-10.42,1,0.723,26,High,Prioritize delivery
SHP_72,Carrot,vegetable,33.55,86.32,0,2,4,90,95,98,10.73,16.59,1585.01,2.82,25.94,31.55,338.49,0.423,-8.68,1,0.417,55,Medium,Increase cooling
SHP_73,Orange,fruit,13.25,94.98,4,6,8,80,85,90,5.37,39.87,2910.53,38.45,28.34,7.25,38.92,0.049,9.98,1,0.111,85,Low,Maintain cold chain
SHP_74,Mango,fruit,16.25,53.6,12,14,16,80,85,90,14.32,38.16,3149.02,11.43,20.15,2.25,32.2,0.04,-31.4,1,0.02,94,Low,Maintain cold chain
SHP_75,Milk,dairy,28.27,59.7,2,3,4,80,85,90,2.31,4.54,3456.39,26.02,23.17,25.27,58.5,0.073,-25.3,1,0.066,89,Low,Maintain cold chain
SHP_76,Tomato,vegetable,12.6,86.87,10,12,14,85,90,92,2.31,35.07,2196.37,6.7,0.86,0.6,1.39,0.002,-3.13,0,0.105,85,Low,Maintain cold chain
SHP_77,Tomato,vegetable,13.78,74.12,10,12,14,85,90,92,2.58,28.16,1300.93,6.82,0.44,1.78,4.57,0.006,-15.88,0,0.093,87,Low,Maintain cold chain
SHP_78,Onion,vegetable,18.4,72.45,10,12,15,70,75,80,10.29,36.17,1936.8,25.7,23.51,6.4,65.86,0.082,-2.55,1,0.023,93,Low,Maintain cold chain
SHP_79,Mango,fruit,36.95,74.21,12,14,16,80,85,90,15.25,34.49,4762.75,7.35,27.8,22.95,349.86,0.437,-10.79,1,0.335,63,Medium,Increase cooling
SHP_80,Milk,dairy,7.97,54.2,2,3,4,80,85,90,22.5,19.7,1845.13,31.67,7.2,4.97,111.78,0.14,-30.8,1,0.159,80,Low,Maintain cold chain
SHP_81,Milk,dairy,20.14,47.09,2,3,4,80,85,90,6.49,5.12,1013.94,6.94,19.23,17.14,111.22,0.139,-37.91,1,0.137,82,Low,Maintain cold chain
SHP_82,Orange,fruit,15.64,59.01,4,6,8,80,85,90,16.45,26.7,1109.9,9.61,1.23,9.64,158.52,0.198,-25.99,1,0.195,77,Low,Maintain cold chain
SHP_83,Fish,meat,-0.32,55.32,0,1,2,85,90,95,8.27,7.08,716.9,6.03,13.82,0.0,0.0,0.0,-34.68,0,0.048,91,Low,Maintain cold chain
SHP_84,Apple,fruit,1.03,60.03,0,2,4,85,90,95,11.54,1.57,4057.23,31.4,2.45,0.0,0.0,0.0,-29.97,0,0.098,86,Low,Maintain cold chain
SHP_85,Banana,fruit,29.86,90.65,13,14,16,80,85,90,13.37,2.44,1601.32,40.31,22.45,15.86,212.01,0.265,5.65,1,0.267,70,Low,Maintain cold chain
SHP_86,Orange,fruit,4.92,51.51,4,6,8,80,85,90,22.46,24.73,2033.89,23.13,22.42,0.0,0.0,0.0,-33.49,0,0.02,94,Low,Maintain cold chain
SHP_87,Onion,vegetable,17.15,53.88,10,12,15,70,75,80,9.5,28.53,4507.47,25.58,15.96,5.15,48.89,0.061,-21.12,1,0.02,94,Low,Maintain cold chain
SHP_88,Fish,meat,8.96,64.61,0,1,2,85,90,95,20.18,10.77,2073.24,1.0,9.66,7.96,160.69,0.201,-25.39,1,0.121,84,Low,Maintain cold chain
SHP_89,Apple,fruit,11.9,58.01,0,2,4,85,90,95,16.36,4.79,4485.48,29.68,20.37,9.9,162.02,0.203,-31.99,1,0.213,75,Low,Maintain cold chain
SHP_90,Grapes,fruit,7.16,67.41,0,1,2,90,92,95,22.6,23.47,3803.57,21.58,3.83,6.16,139.11,0.174,-24.59,1,0.178,78,Low,Maintain cold chain
SHP_91,Cabbage,vegetable,1.42,59.97,0,2,4,90,95,98,3.65,25.84,2982.66,17.8,29.6,0.0,0.0,0.0,-35.03,0,0.02,94,Low,Maintain cold chain
SHP_92,Orange,fruit,12.42,53.05,4,6,8,80,85,90,7.26,7.46,1639.95,8.67,26.9,6.42,46.66,0.058,-31.95,1,0.026,93,Low,Maintain cold chain
SHP_93,Milk,dairy,10.72,68.85,2,3,4,80,85,90,5.68,16.42,4917.18,5.6,11.94,7.72,43.88,0.055,-16.15,1,0.03,93,Low,Maintain cold chain
SHP_94,Mutton,meat,2.88,87.6,0,1,2,85,90,95,6.78,6.84,3442.62,46.47,16.7,1.88,12.72,0.016,-2.4,1,0.02,94,Low,Maintain cold chain
SHP_95,Banana,fruit,27.14,55.4,13,14,16,80,85,90,15.59,30.78,1179.11,16.18,12.76,13.14,204.9,0.256,-29.6,1,0.294,67,Low,Maintain cold chain
SHP_96,Mango,fruit,20.03,53.33,12,14,16,80,85,90,1.08,11.55,3031.82,7.72,14.43,6.03,6.52,0.008,-31.67,1,0.021,93,Low,Maintain cold chain
SHP_97,Cabbage,vegetable,26.99,42.85,0,2,4,90,95,98,4.72,13.46,931.75,3.17,29.7,24.99,117.86,0.147,-52.15,1,0.102,86,Low,Maintain cold chain
SHP_98,Chicken,meat,0.29,84.54,0,1,2,85,90,95,13.9,30.41,3099.5,23.58,12.36,0.0,0.0,0.0,-5.46,0,0.042,91,Low,Maintain cold chain
SHP_99,Banana,fruit,19.4,91.12,13,14,16,80,85,90,22.74,33.22,4835.63,6.21,21.93,5.4,122.67,0.153,6.12,1,0.097,86,Low,Maintain cold chain
SHP_100,Mango,fruit,21.75,49.97,12,14,16,80,85,90,20.2,22.98,4256.6,6.99,23.86,7.75,156.58,0.196,-35.03,1,0.2,76,Low,Maintain cold chain
SHP_101,Chicken,meat,9.81,49.0,0,1,2,85,90,95,3.93,6.57,4128.5,33.26,15.69,8.81,34.65,0.043,-41.0,1,0.036,92,Low,Maintain cold chain
SHP_102,Paneer,dairy,2.44,88.25,2,3,4,80,85,90,21.68,17.57,2071.64,23.13,9.04,0.0,0.0,0.0,3.25,0,0.06,90,Low,Maintain cold chain
SHP_103,Paneer,dairy,8.99,67.65,2,3,4,80,85,90,5.83,9.29,4528.0,19.19,16.31,5.99,34.93,0.044,-17.35,1,0.023,93,Low,Maintain cold chain
SHP_104,Grapes,fruit,30.6,74.33,0,1,2,90,92,95,9.13,5.57,4031.92,31.0,16.0,29.6,270.36,0.338,-17.67,1,0.264,70,Low,Maintain cold chain
SHP_105,Orange,fruit,13.58,83.37,4,6,8,80,85,90,22.29,6.07,1765.09,12.42,22.32,7.58,168.88,0.211,-1.63,1,0.268,70,Low,Maintain cold chain
SHP_106,Tomato,vegetable,16.13,71.34,10,12,14,85,90,92,23.45,13.68,4159.91,5.53,25.39,4.13,96.96,0.121,-18.66,1,0.145,82,Low,Maintain cold chain
SHP_107,Chicken,meat,9.15,61.85,0,1,2,85,90,95,1.57,31.89,1004.61,11.46,21.67,8.15,12.79,0.016,-28.15,1,0.033,92,Low,Maintain cold chain
SHP_108,Chicken,meat,6.88,75.26,0,1,2,85,90,95,19.45,10.07,1924.77,9.08,27.25,5.88,114.38,0.143,-14.74,1,0.164,80,Low,Maintain cold chain
SHP_109,Cabbage,vegetable,2.92,62.05,0,2,4,90,95,98,4.66,18.48,4752.23,7.67,17.59,0.92,4.27,0.005,-32.95,0,0.099,86,Low,Maintain cold chain
SHP_110,Butter,dairy,28.59,73.63,2,4,6,75,80,85,21.06,27.87,4635.75,35.36,4.58,24.59,517.83,0.647,-6.37,1,0.653,33,High,Prioritize delivery
SHP_111,Onion,vegetable,38.64,73.37,10,12,15,70,75,80,5.59,16.97,3761.29,46.72,27.77,26.64,148.95,0.186,-1.63,1,0.222,74,Low,Maintain cold chain
SHP_112,Paneer,dairy,7.8,46.23,2,3,4,80,85,90,8.02,23.65,2175.31,2.74,10.06,4.8,38.52,0.048,-38.77,1,0.051,91,Low,Maintain cold chain
SHP_113,Onion,vegetable,20.21,40.25,10,12,15,70,75,80,1.54,13.34,2171.39,26.87,27.6,8.21,12.68,0.016,-34.75,1,0.071,89,Low,Maintain cold chain
SHP_114,Butter,dairy,3.73,59.08,2,4,6,75,80,85,8.55,8.98,2426.47,7.04,5.29,0.0,0.0,0.0,-20.92,0,0.02,94,Low,Maintain cold chain
SHP_115,Cabbage,vegetable,26.48,63.04,0,2,4,90,95,98,9.08,36.59,2003.25,29.03,18.97,24.48,222.15,0.278,-31.96,1,0.361,61,Medium,Increase cooling
SHP_116,Milk,dairy,1.05,76.49,2,3,4,80,85,90,22.6,3.41,4985.31,25.11,17.86,0.0,0.0,0.0,-8.51,0,0.02,94,Low,Maintain cold chain
SHP_117,Cabbage,vegetable,10.6,81.25,0,2,4,90,95,98,5.11,8.4,4520.86,10.26,5.72,8.6,43.94,0.055,-13.75,1,0.02,94,Low,Maintain cold chain
SHP_118,Mango,fruit,31.55,65.96,12,14,16,80,85,90,3.49,31.02,2430.46,26.22,13.22,17.55,61.3,0.077,-19.04,1,0.041,92,Low,Maintain cold chain
SHP_119,Paneer,dairy,13.61,70.78,2,3,4,80,85,90,17.76,6.21,1155.06,43.09,28.38,10.61,188.34,0.235,-14.22,1,0.241,72,Low,Maintain cold chain
SHP_120,Chicken,meat,0.49,54.89,0,1,2,85,90,95,14.94,1.02,1033.92,35.8,19.77,0.0,0.0,0.0,-35.11,0,0.02,94,Low,Maintain cold chain
SHP_121,Butter,dairy,8.11,52.21,2,4,6,75,80,85,21.69,9.24,3457.9,0.99,3.12,4.11,89.11,0.111,-27.79,1,0.199,76,Low,Maintain cold chain
SHP_122,Cabbage,vegetable,31.0,49.82,0,2,4,90,95,98,2.02,3.98,1442.91,36.11,25.67,29.0,58.6,0.073,-45.18,1,0.02,94,Low,Maintain cold chain
SHP_123,Apple,fruit,9.32,61.85,0,2,4,85,90,95,12.96,26.72,1263.43,14.66,26.89,7.32,94.87,0.119,-28.15,1,0.154,81,Low,Maintain cold chain
SHP_124,Paneer,dairy,10.12,44.7,2,3,4,80,85,90,10.92,16.86,4495.56,40.87,10.25,7.12,77.72,0.097,-40.3,1,0.113,85,Low,Maintain cold chain
SHP_125,Milk,dairy,2.04,60.88,2,3,4,80,85,90,16.26,23.61,1559.9,31.21,12.28,0.0,0.0,0.0,-24.12,0,0.02,94,Low,Maintain cold chain
SHP_126,Carrot,vegetable,27.28,63.99,0,2,4,90,95,98,12.66,30.54,958.53,43.42,14.62,25.28,320.15,0.4,-31.01,1,0.411,56,Medium,Increase cooling
SHP_127,Milk,dairy,18.05,83.99,2,3,4,80,85,90,10.26,17.01,405.61,13.43,16.25,15.05,154.35,0.193,-1.01,1,0.188,77,Low,Maintain cold chain
SHP_128,Orange,fruit,32.5,54.18,4,6,8,80,85,90,5.41,39.38,2770.74,8.58,8.17,26.5,143.44,0.179,-30.82,1,0.188,77,Low,Maintain cold chain
SHP_129,Tomato,vegetable,20.17,90.29,10,12,14,85,90,92,15.16,4.71,3009.63,13.7,16.63,8.17,123.76,0.155,0.29,1,0.146,82,Low,Maintain cold chain
SHP_130,Butter,dairy,5.26,85.64,2,4,6,75,80,85,13.6,24.02,3425.67,8.77,27.43,1.26,17.1,0.021,5.64,0,0.034,92,Low,Maintain cold chain
SHP_131,Carrot,vegetable,25.28,61.07,0,2,4,90,95,98,7.6,20.76,520.74,8.31,22.14,23.28,176.92,0.221,-33.93,1,0.27,70,Low,Maintain cold chain
SHP_132,Milk,dairy,20.24,73.17,2,3,4,80,85,90,11.69,11.55,1971.66,35.95,8.91,17.24,201.64,0.252,-11.83,1,0.221,74,Low,Maintain cold chain
SHP_133,Potato,vegetable,19.27,66.18,10,12,15,85,90,92,12.76,26.55,4703.1,36.63,6.45,7.27,92.69,0.116,-23.82,1,0.046,91,Low,Maintain cold chain
SHP_134,Banana,fruit,22.28,54.42,13,14,16,80,85,90,7.53,19.85,3105.16,16.71,23.13,8.28,62.33,0.078,-30.58,1,0.049,91,Low,Maintain cold chain
SHP_135,Banana,fruit,18.43,44.13,13,14,16,80,85,90,19.82,29.13,2628.81,34.42,13.04,4.43,87.75,0.11,-40.87,1,0.116,84,Low,Maintain cold chain
SHP_136,Carrot,vegetable,6.99,85.05,0,2,4,90,95,98,6.17,10.89,3074.08,18.05,2.75,4.99,30.74,0.038,-9.95,1,0.07,89,Low,Maintain cold chain
SHP_137,Orange,fruit,13.67,47.53,4,6,8,80,85,90,1.56,38.01,2396.23,9.26,16.26,7.67,11.98,0.015,-37.47,1,0.064,89,Low,Maintain cold chain
SHP_138,Mutton,meat,2.49,80.27,0,1,2,85,90,95,15.06,27.69,4291.22,12.48,14.68,1.49,22.47,0.028,-9.73,1,0.056,90,Low,Maintain cold chain
SHP_139,Fish,meat,4.88,94.32,0,1,2,85,90,95,10.53,37.76,485.31,35.28,27.76,3.88,40.92,0.051,4.32,1,0.105,85,Low,Maintain cold chain
SHP_140,Butter,dairy,8.72,71.24,2,4,6,75,80,85,12.37,36.98,4863.97,47.21,14.23,4.72,58.42,0.073,-8.76,1,0.02,94,Low,Maintain cold chain
SHP_141,Orange,fruit,8.31,86.45,4,6,8,80,85,90,16.09,12.76,4195.9,1.85,17.89,2.31,37.17,0.046,1.45,1,0.099,86,Low,Maintain cold chain
SHP_142,Grapes,fruit,4.92,46.63,0,1,2,90,92,95,18.9,13.59,3706.4,3.27,9.46,3.92,74.1,0.093,-45.37,1,0.104,86,Low,Maintain cold chain
SHP_143,Tomato,vegetable,37.09,83.49,10,12,14,85,90,92,19.49,12.75,3241.69,44.3,18.48,25.09,489.16,0.611,-6.51,1,0.588,39,High,Prioritize delivery
SHP_144,Mango,fruit,13.16,41.34,12,14,16,80,85,90,13.82,37.56,4054.28,49.9,10.52,0.0,0.0,0.0,-43.66,0,0.02,94,Low,Maintain cold chain
SHP_145,Fish,meat,28.51,62.11,0,1,2,85,90,95,4.07,19.2,3249.28,43.68,29.52,27.51,111.87,0.14,-27.89,1,0.193,77,Low,Maintain cold chain
SHP_146,Milk,dairy,30.52,62.98,2,3,4,80,85,90,22.85,9.55,819.23,17.73,8.62,27.52,628.95,0.786,-22.02,1,0.865,12,Critical,Immediate cooling and delivery
